,SL,STATE/UT,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,GraveCrimes,PettyCrimes,CrimeRatio
26,27,PUDUCHERRY_2009,167.0,87.0,28.0,0.0,24.0,11.0,13.0,20.0,21.0,20.0,294.0,106.0,188.0,1118.0,6.0,52.0,1.0,5.0,1825.0,0.0,53.0,21.0,21.0,0.0,243.0,2418.0,317.0,6742.0,0.047018688816374964
26,27,PUDUCHERRY_2010,163.0,57.0,24.0,5.0,0.0,5.0,31.0,22.0,9.0,14.0,53.0,11.0,61.0,141.0,54.0,87.0,967.0,5.0,91.0,0.0,5.0,1610.0,4.0,71.0,28.0,9.0,254.0,3527.0,0.07201587751630281
26,27,PUDUCHERRY_2011,138.0,76.0,35.0,29.0,0.0,29.0,24.0,10.0,14.0,47.0,55.0,19.0,44.0,235.0,57.0,178.0,858.0,7.0,39.0,0.0,3.0,1097.0,5.0,77.0,20.0,21.0,307.0,3117.0,0.0984921398780879
27,28,PUNJAB_2009,1489.0,2520.0,157.0,0.0,816.0,566.0,250.0,101.0,468.0,292.0,4306.0,1561.0,2745.0,3.0,266.0,3661.0,152.0,149.0,10321.0,323.0,355.0,50.0,1871.0,0.0,2836.0,13465.0,5548.0,48723.0,0.11386819366623566
27,28,PUNJAB_2010,1547.0,2613.0,181.0,766.0,0.0,766.0,1007.0,646.0,361.0,163.0,704.0,468.0,2350.0,4749.0,1652.0,3097.0,0.0,354.0,4733.0,127.0,157.0,9382.0,288.0,454.0,42.0,2159.0,5873.0,38766.0,0.15149873600577826
27,28,PUNJAB_2011,1550.0,2402.0,130.0,598.0,0.0,598.0,880.0,589.0,291.0,99.0,731.0,412.0,2161.0,4480.0,1755.0,2725.0,0.0,367.0,4323.0,109.0,139.0,8740.0,364.0,402.0,34.0,2229.0,5278.0,36108.0,0.14617259333111776
28,29,RAJASTHAN_2009,2297.0,4156.0,102.0,0.0,1828.0,1138.0,690.0,212.0,273.0,1224.0,8399.0,3174.0,5225.0,5592.0,272.0,4359.0,77.0,684.0,39019.0,553.0,2692.0,24.0,9326.0,0.0,6749.0,97295.0,9521.0,195360.0,0.04873566748566749
28,29,RAJASTHAN_2010,2061.0,3780.0,131.0,1343.0,0.0,1343.0,1953.0,1281.0,672.0,172.0,440.0,1387.0,3135.0,7749.0,3479.0,4270.0,4746.0,317.0,5102.0,60.0,584.0,34767.0,616.0,2598.0,22.0,9113.0,8658.0,91121.0,0.09501651650003841
28,29,RAJASTHAN_2011,2378.0,3839.0,160.0,1642.0,0.0,1642.0,2159.0,1461.0,698.0,145.0,357.0,1102.0,3093.0,8178.0,3257.0,4921.0,3556.0,302.0,5644.0,87.0,767.0,32011.0,673.0,2740.0,13.0,9791.0,9661.0,90616.0,0.10661472587622495
29,30,SIKKIM_2009,17.0,11.0,4.0,0.0,7.0,7.0,0.0,4.0,0.0,7.0,58.0,12.0,46.0,155.0,7.0,11.0,4.0,4.0,129.0,0.0,36.0,0.0,12.0,0.0,55.0,253.0,46.0,839.0,0.054827175208581644
29,30,SIKKIM_2010,17.0,8.0,1.0,21.0,0.0,21.0,13.0,13.0,0.0,5.0,0.0,12.0,146.0,128.0,17.0,111.0,16.0,18.0,125.0,6.0,9.0,80.0,2.0,23.0,0.0,4.0,68.0,796.0,0.08542713567839195
29,30,SIKKIM_2011,7.0,5.0,16.0,25.0,0.0,25.0,6.0,6.0,0.0,0.0,0.0,2.0,27.0,86.0,5.0,81.0,89.0,8.0,15.0,6.0,4.0,155.0,0.0,17.0,0.0,4.0,78.0,589.0,0.13242784380305603
30,31,TAMIL NADU_2009,3602.0,5728.0,20.0,0.0,1779.0,1312.0,467.0,447.0,87.0,1581.0,14608.0,3679.0,10929.0,12956.0,173.0,2488.0,131.0,538.0,34011.0,430.0,1916.0,568.0,2697.0,0.0,11544.0,108848.0,12441.0,220539.0,0.05641179111177615
30,31,TAMIL NADU_2010,4185.0,6108.0,39.0,777.0,0.0,777.0,2126.0,1532.0,594.0,364.0,39.0,2174.0,4123.0,12536.0,3217.0,9319.0,15593.0,128.0,2924.0,173.0,732.0,35809.0,313.0,1946.0,739.0,2981.0,11886.0,109248.0,0.10879833040421792
